Topic,Source,Last Updated,Question,Answer
Vaccines General Info,CDC,3/30/2021,"After getting a COVID-19 vaccine, will I test positive for COVID-19 on a viral test?","Neither the recently authorized and recommended vaccines nor the other COVID-19 vaccines currently in clinical trials in the United States can cause you to test positive on viral tests, which are used to see if you have a current infection.​ If your body develops an immune response—the goal of vaccination—there is a possibility you may test positive on some antibody tests. Antibody tests indicate you had a previous infection and that you may have some level of protection against the virus. Experts are currently looking at how COVID-19 vaccination may affect antibody testing results."
Vaccines General Info,CDC,3/30/2021,Will a COVID-19 vaccine alter my DNA?,"COVID-19 vaccines do not change or interact with your DNA in any way. There are currently two types of COVID-19 vaccines that have been authorized for use in the United States: messenger RNA (mRNA) vaccines and viral vector vaccines. At the end of the process, our bodies have learned how to protect against future infection from COVID-19. That immune response and the antibodies that our bodies make protect us from getting infected if the real virus enters our bodies."
Vaccines General Info,DOH,3/30/2021,How can I protect myself from getting exposed to COVID-19 even after the vaccination?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/30/2021,Can I still get COVID after getting the vaccine?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/30/2021,Can I go out after I have been vaccinated?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/30/2021,Do I still need to wear a mask after getting the vaccine?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/30/2021,Are masks still required after being vaccinated?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/30/2021,How protected am I after the vaccine?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/30/2021,Can I still be a carrier after the vaccine?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance."
Vaccines General Info,DOH,3/29/2021,How can I help stop the spread of COVID-19 even after vaccination?,"Even if you've already received your first dose of the COVID-19 vaccine, you can prevent the spread of the virus to your family and community through the following: stay at home unless travel is essential; open windows and ensure proper ventilation and air circulation at home or your place of work; maintain a balanced and healthy diet; exercise, and avoid smoking and alcohol; monitor your health and call your Barangay Health Emergency Response Team if you have symptoms and possible exposure to the virus."
Vaccines General Info,WHO,3/29/2021,Will other vaccines help protect me from COVID-19?,"Currently, there is no evidence that any other vaccines, apart from those specifically designed for the SARS-Cov-2 virus, will protect against COVID-19. However, scientists are studying whether some existing vaccines such as the Bacille Calmette-Gurin (BCG) vaccine, which is used to prevent tuberculosis are also effective for COVID-19. WHO will evaluate evidence from these studies when available."
Vaccines General Info,DOH,3/31/2021,What is an Emergency Use Authorization (EUA)?,"It is an authorization granted through a risk-based procedure for assessing unregistered (under development) vaccines or drugs during public health emergencies of international concern. It aims to expedite availability of the vaccine or drug to people affected by public health emergency based on essential set of available quality, safety and efficacy performance data."
Vaccines General Info,DOH,3/31/2021,What is EUA?,"It is an authorization granted through a risk-based procedure for assessing unregistered (under development) vaccines or drugs during public health emergencies of international concern. It aims to expedite availability of the vaccine or drug to people affected by public health emergency based on essential set of available quality, safety and efficacy performance data."
Vaccines General Info,DOH,3/31/2021,What can we do while waiting for the vaccine?,"We urge the public to be more vigilant with the information found online. Let us make it a habit to fact check and verify with reliable sources (DOH Facebook page, DOH website, WHO website, PIA website) regarding new information. Continue observing the minimum public health standards to prevent further transmission of the virus."
Vaccines General Info,DOH,3/31/2021,How can I learn more?,"Ask your vaccination provider. You can also visit DOH at https://doh.gov.ph/, FDA at https://www.fda.gov.ph/. and WHO at https://www.who.int/. You may also contact your Local Health Office."
Vaccine Safety,DOH,3/30/2021,Is it true that some people have died because of the vaccine?,None have died due to the vaccine. The reports were of people who died due to COVID-19 and not because of the vaccine. There was no relation between getting vaccinated and the reported deaths due to COVID-19.
Vaccine Safety,DOH,3/30/2021,Have people died from the vaccine?,None have died due to the vaccine. The reports were of people who died due to COVID-19 and not because of the vaccine. There was no relation between getting vaccinated and the reported deaths due to COVID-19.
Vaccine Safety,WHO,3/29/2021,How will we know if COVID-19 vaccines are safe?,"Ensuring the safety and quality of vaccines is one of WHOs highest priorities. WHO works closely with national authorities to ensure that global norms and standards are developed and implemented to assess the quality, safety and efficacy of vaccines.The process to develop COVID vaccines is fast-tracked while maintaining the highest standards: Given the urgent need to stop the pandemic, pauses between steps, often needed to secure funding, have been shortened, or eliminated, and in some cases, steps are being carried out in parallel to accelerate the process, wherever that is safe to do. COVID-19 vaccine developers have issued a joint pledge not to seek government approval for their vaccines until theyve been proven to be safe and effective.There are many strict protections in place to help ensure that COVID-19 vaccines are safe. Like all vaccines, COVID-19 vaccines are going through a rigorous, multi-stage testing process, including large (phase III) trials that involve tens of thousands of people. These trials, which include some groups at high risk for COVID-19 (certain groups like pregnant and lactating women were not included in vaccine trials), are specifically designed to identify any common side effects or other safety concerns.Once a clinical trial shows that a COVID-19 vaccine is safe and effective, a series of independent reviews of the efficacy and safety evidence is required, including regulatory review and approval in the country where the vaccine is manufactured, before WHO considers a vaccine product for EUL or prequalification. EUL or Prequalification verifies to those countries that would want to procure a particular vaccine that there has been an assurance by WHO that the regulatory review process, usually in the country of manufacture, has held up to the highest standards. Part of this process also involves a review of all the safety evidence by the Global Advisory Committee on Vaccine Safety.An external panel of experts convened by WHO analyzes the results from clinical trials, along with evidence on the disease, age groups affected, risk factors for disease, and other information. The panel recommends whether and how the vaccines should be used. Officials in individual countries decide whether to approve the vaccines for national use and develop policies for how to use the vaccines in their country based on the WHO recommendations.After a COVID-19 vaccine is introduced, WHO supports work with vaccine manufacturers, health officials in each country, and other partners to monitor for any safety concerns on an ongoing basis."
Vaccine Safety,WHO,3/29/2021,How do we know that COVID-19 vaccines are safe?,"There are strict protections in place to help ensure the safety of all COVID-19 vaccines. Before receiving validation from WHO and national regulatory agencies, COVID-19 vaccines must undergo rigorous testing in clinical trials to prove that they meet internationally agreed benchmarks for safety and effectiveness. Unprecedented scientific collaborations have allowed COVID-19 vaccine research, development, and authorizations to be completed in record time to meet the urgent need for COVID-19 vaccines while maintaining high safety standards. As with all vaccines, WHO and regulatory authorities will continuously monitor the use of COVID-19 vaccines to confirm that they remain safe for all who receive them."
Vaccine Safety,WHO,3/29/2021,Are vaccines safe?,"There are strict protections in place to help ensure the safety of all COVID-19 vaccines. Before receiving validation from WHO and national regulatory agencies, COVID-19 vaccines must undergo rigorous testing in clinical trials to prove that they meet internationally agreed benchmarks for safety and effectiveness. Unprecedented scientific collaborations have allowed COVID-19 vaccine research, development, and authorizations to be completed in record time to meet the urgent need for COVID-19 vaccines while maintaining high safety standards. As with all vaccines, WHO and regulatory authorities will continuously monitor the use of COVID-19 vaccines to confirm that they remain safe for all who receive them."
Vaccine Safety,WHO,3/29/2021,Are vaccines effective?,"There are strict protections in place to help ensure the safety of all COVID-19 vaccines. Before receiving validation from WHO and national regulatory agencies, COVID-19 vaccines must undergo rigorous testing in clinical trials to prove that they meet internationally agreed benchmarks for safety and effectiveness. Unprecedented scientific collaborations have allowed COVID-19 vaccine research, development, and authorizations to be completed in record time to meet the urgent need for COVID-19 vaccines while maintaining high safety standards. As with all vaccines, WHO and regulatory authorities will continuously monitor the use of COVID-19 vaccines to confirm that they remain safe for all who receive them."
Vaccine Safety,WHO,3/29/2021,What are the side effects of COVID-19 vaccines?,"Like any vaccine, COVID-19 vaccines can cause mild side effects, such as a low-grade fever or pain or redness at the injection site. Most reactions to vaccines are mild and go away within a few days on their own. More serious or long-lasting side effects to vaccines are possible but extremely rare. Vaccines are continually monitored to detect rare adverse events. Reported side effects to COVID-19 vaccines have mostly been mild to moderate and short-lasting. They include: fever, fatigue, headache, muscle pain, chills, diarrhoea, and pain at the injection site. The chances of any of these side effects following vaccination differ according to the specific COVID-19 vaccine."
Vaccine Safety,WHO,3/29/2021,What is the link between COVID-19 vaccines and allergic reactions?,"WHO is aware of reports of severe allergic reactions in a small number of people who received a COVID-19 vaccine. A severe allergic reaction such as anaphylaxis is a potential but rare side effect with any vaccine. In persons with a known risk, such as previous experience of an allergic reaction to a previous dose of the vaccine or any of the known components in the vaccine, precautions may need to be taken. WHO recommends that healthcare providers assess patient medical history to determine if a patient is at risk for severe allergic reaction to a COVID-19 vaccine. All immunization providers should be trained to recognize severe allergic reactions and take practical steps to treat such reactions if they occur. COVID-19 vaccine use will be closely monitored by national authorities and international bodies, including WHO, to detect serious side effects, including any unexpected side effects. This will help us better understand and manage the specific risks of allergic reactions or other serious side effects to COVID-19 vaccines that may not have been detected during clinical trials, ensuring safe vaccination for all."
Vaccine Safety,WHO,3/29/2021,Can the vaccine cause allergic reactions?,"WHO is aware of reports of severe allergic reactions in a small number of people who received a COVID-19 vaccine. A severe allergic reaction such as anaphylaxis is a potential but rare side effect with any vaccine. In persons with a known risk, such as previous experience of an allergic reaction to a previous dose of the vaccine or any of the known components in the vaccine, precautions may need to be taken. WHO recommends that healthcare providers assess patient medical history to determine if a patient is at risk for severe allergic reaction to a COVID-19 vaccine. All immunization providers should be trained to recognize severe allergic reactions and take practical steps to treat such reactions if they occur. COVID-19 vaccine use will be closely monitored by national authorities and international bodies, including WHO, to detect serious side effects, including any unexpected side effects. This will help us better understand and manage the specific risks of allergic reactions or other serious side effects to COVID-19 vaccines that may not have been detected during clinical trials, ensuring safe vaccination for all."
Vaccine Safety,WHO,3/29/2021,Can I get the vaccine if I have a history of allergic reactions?,"WHO is aware of reports of severe allergic reactions in a small number of people who received a COVID-19 vaccine. A severe allergic reaction such as anaphylaxis is a potential but rare side effect with any vaccine. In persons with a known risk, such as previous experience of an allergic reaction to a previous dose of the vaccine or any of the known components in the vaccine, precautions may need to be taken. WHO recommends that healthcare providers assess patient medical history to determine if a patient is at risk for severe allergic reaction to a COVID-19 vaccine. All immunization providers should be trained to recognize severe allergic reactions and take practical steps to treat such reactions if they occur. COVID-19 vaccine use will be closely monitored by national authorities and international bodies, including WHO, to detect serious side effects, including any unexpected side effects. This will help us better understand and manage the specific risks of allergic reactions or other serious side effects to COVID-19 vaccines that may not have been detected during clinical trials, ensuring safe vaccination for all."
Vaccine Safety,WHO,3/29/2021,What happens if an adverse event is reported?,"As with any vaccine, it is essential to closely monitor the safety and efficacy of COVID-19 vaccines as they are delivered. If a problem is reported following vaccination, a thorough investigation should take place. During these investigations, it is extremely rare that health problems are found to be caused by the vaccine itself. Adverse events are most often found to be coincidental and may be entirely unrelated to vaccination. Sometimes they are related to how the vaccine has been stored, transported, or administered. Such errors can be prevented by better training health workers and strengthening supply chains. In the very rare cases where a genuine adverse reaction is suspected, the vaccine may be suspended from use. Further investigations will take place to determine what exactly caused the event, and corrective measures will be put in place. WHO works with vaccine manufacturers, health officials and other partners to monitor any safety concerns and potential side effects on an ongoing basis."
Vaccine Safety,WHO,3/29/2021,Under what circumstances should a COVID-19 vaccine be recalled?,"Vaccine recalls or withdrawals due to safety issues are rare. Recalls are usually initiated voluntarily by a vaccine manufacturer before any adverse events are reported. For example, ongoing monitoring of vaccine production may show that an irregularity has caused a batch of vaccines to lose their strength. In this case, people who have received a vaccine from that batch may need to be vaccinated again to ensure they are protected."
Vaccine Safety,WHO,3/29/2021,Can vaccines be recalled?,"Vaccine recalls or withdrawals due to safety issues are rare. Recalls are usually initiated voluntarily by a vaccine manufacturer before any adverse events are reported. For example, ongoing monitoring of vaccine production may show that an irregularity has caused a batch of vaccines to lose their strength. In this case, people who have received a vaccine from that batch may need to be vaccinated again to ensure they are protected."
Vaccine Safety,WHO,3/29/2021,How will WHO inform the public about suspected or confirmed adverse events related to COVID-19 vaccines?,"Suspected safety events officially reported to WHO go through a series of rapid verification steps involving an independent panel of experts. WHO shares the results of these evaluations on its website. WHO also coordinates with local, regional, and national health officials to investigate vaccine safety concerns and advise on next steps. Information is also made available through the Vaccine Safety Net, a publicly available network of digital international resources on vaccine safety that have been approved by WHO."
Vaccine Safety,WHO,3/29/2021,"Is it safe for pregnant women, those planning to become pregnant, and breastfeeding mothers to receive COVID-19 vaccines?","Based on what we know about these vaccines, we dont have any specific reason to believe there will be risks that would outweigh the benefits of vaccination for pregnant women. While pregnancy puts women at higher risk of severe COVID-19, very little data are available to assess vaccine safety in pregnancy.For this reason, those pregnant women at high risk of exposure to SARS-CoV-2 (e.g., health workers) or who have comorbidities which add to their risk of severe disease may be vaccinated in consultation with their health care provider.It is not yet clear whether COVID-19 vaccines can be excreted through breastfeeding. To determine the best course of action, the developmental and health benefits of breastfeeding should be considered along with the mothers clinical need for immunization against COVID-19. WHO does not recommend discontinuing breastfeeding after vaccination."
Vaccine Safety,WHO,3/29/2021,Is it safe for pregnant women to receive COVID-19 vaccines?,"Based on what we know about these vaccines, we dont have any specific reason to believe there will be risks that would outweigh the benefits of vaccination for pregnant women. While pregnancy puts women at higher risk of severe COVID-19, very little data are available to assess vaccine safety in pregnancy.For this reason, those pregnant women at high risk of exposure to SARS-CoV-2 (e.g., health workers) or who have comorbidities which add to their risk of severe disease may be vaccinated in consultation with their health care provider.It is not yet clear whether COVID-19 vaccines can be excreted through breastfeeding. To determine the best course of action, the developmental and health benefits of breastfeeding should be considered along with the mothers clinical need for immunization against COVID-19. WHO does not recommend discontinuing breastfeeding after vaccination."
Vaccine Safety,WHO,3/29/2021,Can I get the vaccine if I am pregnant?,"Based on what we know about these vaccines, we don't have any specific reason to believe there will be risks that would outweigh the benefits of vaccination for pregnant women. While pregnancy puts women at higher risk of severe COVID-19, very little data are available to assess vaccine safety in pregnancy. For this reason, those pregnant women at high risk of exposure to SARS-CoV-2 (e.g., health workers) or who have comorbidities which add to their risk of severe disease may be vaccinated in consultation with their health care provider. It is not yet clear whether COVID-19 vaccines can be excreted through breastfeeding. To determine the best course of action, the developmental and health benefits of breastfeeding should be considered along with the mothers clinical need for immunization against COVID-19. WHO does not recommend discontinuing breastfeeding after vaccination."
Vaccine Safety,WHO,3/29/2021,"Are mRNA vaccines safe? If theyre based on new technology, how can we be sure?","The COVID-19 mRNA vaccine technology has been rigorously assessed for safety, and clinical trials have shown that mRNA vaccines provide a long-lasting immune response. mRNA vaccine technology has been studied for several decades, including in the contexts of Zika, rabies, and influenza vaccines. mRNA vaccines are not live virus vaccines and do not interfere with human DNA."
Vaccine Safety,WHO,3/29/2021,Are mRNA vaccines safe? ,"The COVID-19 mRNA vaccine technology has been rigorously assessed for safety, and clinical trials have shown that mRNA vaccines provide a long-lasting immune response. mRNA vaccine technology has been studied for several decades, including in the contexts of Zika, rabies, and influenza vaccines. mRNA vaccines are not live virus vaccines and do not interfere with human DNA."
Vaccine Safety,WHO,3/29/2021,How will WHO ensure vaccine safety monitoring and response when COVID-19 vaccines are used?,"Vaccine safety monitoring is ensured at the national, regional, and global level. As is standard practice in all national immunization programmes, WHO supports the set up of safety monitoring systems for COVID-19 vaccines in every country. After a COVID-19 vaccine is introduced in a country, WHO works with vaccine manufacturers, health officials and other partners to track safety concerns and potential side effects on an ongoing basis. Specific safety concerns that may arise will be evaluated by WHO and an independent group of experts (the Global Advisory Committee on Vaccine Safety, or GACVS) in conjunction with the relevant national authorities."
Vaccine Safety,CDC,3/30/2021,Is it safe for me to get a COVID-19 vaccine if I would like to have a baby one day?,"If you are trying to become pregnant now or want to get pregnant in the future, you may receive a COVID-19 vaccine when one is available to you. There is currently no evidence that COVID-19 vaccination causes any problems with pregnancy, including the development of the placenta. In addition, there is no evidence that fertility problems are a side effect of any vaccine, including COVID-19 vaccines. Like all vaccines, scientists are studying COVID-19 vaccines carefully for side effects now and will continue to study them for many years."
Vaccine Safety,DOH,3/31/2021,What are the possible side effects of vaccination?,"Local reactions like pain, redness, and swelling at the injection site and flu-like symptoms including fever, headache, and fatigue are common after vaccination. These are signs that your body is buidling up the immune response from the vaccine. These symptoms will resolve in on to three days."
Vaccine Safety,DOH,3/31/2021,Side effects of vaccination?,"Local reactions like pain, redness, and swelling at the injection site and flu-like symptoms including fever, headache, and fatigue are common after vaccination. These are signs that your body is buidling up the immune response from the vaccine. These symptoms will resolve in on to three days."
Vaccine Safety,DOH,3/31/2021,Are there risks for complications when given the COVID-19 vaccine?,"Like all other vaccines, there are risks of complications BUT SEVERE OR LIFE-THREATENING REACTIONS ARE EXTREMELY RARE. The benefit of protection against severe COVID-19 is greater than the risk. Anyone who will get the vaccine will be properly evaluated and closely monitored by health professionals to further minimize any risk."
Vaccine Safety,CDC,3/31/2021,What to Do if You Have an Allergic Reaction After Getting A COVID-19 Vaccine?,"If you had a severe allergic reaction—also known as anaphylaxis—after getting the first shot of a COVID-19 vaccine, CDC recommends that you not get a second shot of that vaccine. If the reaction was after an mRNA COVID-19 vaccine (either Pfizer-BioNTech or Moderna), you should not get a second shot of either of these vaccines."
Vaccine Safety,CDC,3/31/2021,Can I get an allergic reaction from the vaccine?,"If you had a severe allergic reaction—also known as anaphylaxis—after getting the first shot of a COVID-19 vaccine, CDC recommends that you not get a second shot of that vaccine. If the reaction was after an mRNA COVID-19 vaccine (either Pfizer-BioNTech or Moderna), you should not get a second shot of either of these vaccines."
Vaccine Safety,CDC,3/31/2021,What do I do if the vaccine gives me allergies?,"If you had a severe allergic reaction—also known as anaphylaxis—after getting the first shot of a COVID-19 vaccine, CDC recommends that you not get a second shot of that vaccine. If the reaction was after an mRNA COVID-19 vaccine (either Pfizer-BioNTech or Moderna), you should not get a second shot of either of these vaccines."
Vaccine Necessity,DOH,3/30/2021,What is the purpose of getting vaccinated?,"The COVID-19 pandemic has taken many lives, and continues to put many at risk. It has also disrupted the economy, leaving many Filipinos jobless or underemployed. With the availability of COVID-19 vaccines which can (1) prevent symptomatic infection and possibly (2) prevent severe infection and (3) prevent transmission, we have the opportunity to get ahead of the virus. However, like many vaccines being used in the past decades, the protective effect on our community is maximized only when at least 70% of the population get vaccinated. For example, if your barangay has 100,000 people, at least 70,000 should be vaccinated to ensure protection of the community. So remember, this is not just about getting you or your family vaccinated, this is about getting your barangay, city, province up for it."
Vaccine Necessity,DOH,3/30/2021,Why is it necessary to get vaccinated?,"The COVID-19 pandemic has taken many lives, and continues to put many at risk. It has also disrupted the economy, leaving many Filipinos jobless or underemployed. With the availability of COVID-19 vaccines which can (1) prevent symptomatic infection and possibly (2) prevent severe infection and (3) prevent transmission, we have the opportunity to get ahead of the virus. However, like many vaccines being used in the past decades, the protective effect on our community is maximized only when at least 70% of the population get vaccinated. For example, if your barangay has 100,000 people, at least 70,000 should be vaccinated to ensure protection of the community. So remember, this is not just about getting you or your family vaccinated, this is about getting your barangay, city, province up for it."
Vaccine Necessity,DOH,3/30/2021,Why do I need to get vaccinated?,"The COVID-19 pandemic has taken many lives, and continues to put many at risk. It has also disrupted the economy, leaving many Filipinos jobless or underemployed. With the availability of COVID-19 vaccines which can (1) prevent symptomatic infection and possibly (2) prevent severe infection and (3) prevent transmission, we have the opportunity to get ahead of the virus. However, like many vaccines being used in the past decades, the protective effect on our community is maximized only when at least 70% of the population get vaccinated. For example, if your barangay has 100,000 people, at least 70,000 should be vaccinated to ensure protection of the community. So remember, this is not just about getting you or your family vaccinated, this is about getting your barangay, city, province up for it."
Vaccine Necessity,DOH,3/30/2021,Why should I get a vaccine?,"The COVID-19 pandemic has taken many lives, and continues to put many at risk. It has also disrupted the economy, leaving many Filipinos jobless or underemployed. With the availability of COVID-19 vaccines which can (1) prevent symptomatic infection and possibly (2) prevent severe infection and (3) prevent transmission, we have the opportunity to get ahead of the virus. However, like many vaccines being used in the past decades, the protective effect on our community is maximized only when at least 70% of the population get vaccinated. For example, if your barangay has 100,000 people, at least 70,000 should be vaccinated to ensure protection of the community. So remember, this is not just about getting you or your family vaccinated, this is about getting your barangay, city, province up for it."
Vaccine Necessity,DOH,3/30/2021,Will vaccines stop COVID from spreading?,"The COVID-19 pandemic has taken many lives, and continues to put many at risk. It has also disrupted the economy, leaving many Filipinos jobless or underemployed. With the availability of COVID-19 vaccines which can (1) prevent symptomatic infection and possibly (2) prevent severe infection and (3) prevent transmission, we have the opportunity to get ahead of the virus. However, like many vaccines being used in the past decades, the protective effect on our community is maximized only when at least 70% of the population get vaccinated. For example, if your barangay has 100,000 people, at least 70,000 should be vaccinated to ensure protection of the community. So remember, this is not just about getting you or your family vaccinated, this is about getting your barangay, city, province up for it."
